review_text,sentiments
Best playing experience with this shuttle cork..............It's amazing productREAD MORE,1
Need moreREAD MORE,0
It is soo nice .l like to play with it in indoorREAD MORE,1
GoodREAD MORE,0
OkREAD MORE,0
Delivery at time and all the safety precautions has been followed by the delivery manREAD MORE,1
ExcellentREAD MORE,0
Could've been a bit heavier.READ MORE,0
Excellent product from FlipkartREAD MORE,1
Nice shuttle . Must buy . It is better than the other brandsREAD MORE,1
NiceREAD MORE,0
Nic product...READ MORE,0
GoodREAD MORE,0
SuperREAD MORE,0
GoodREAD MORE,0
GoodREAD MORE,0
nice productREAD MORE,1
Nice productREAD MORE,1
Very valuable for this price in lockdown timeREAD MORE,1
AverageREAD MORE,0
One shuttle for 3-4 days onlyREAD MORE,0
Superb product.READ MORE,1
GoodREAD MORE,0
avgREAD MORE,0
NiceREAD MORE,0
very goodREAD MORE,0
GoodREAD MORE,0
Must buyyyREAD MORE,0
Good product.READ MORE,1
Good productREAD MORE,1
Nice productREAD MORE,1
Super fast delivery thanku pruthvi delivery boyREAD MORE,1
Not Good It is so HardREAD MORE,1
Super it's really amazingREAD MORE,1
Good product. We play daily for 2 hrs. Each shuttle comes for a week atleastREAD MORE,1
"Very nice, used mavis 10 before, but this is on another level. U can feel the difference only after using it.READ MORE",1
Best in businessREAD MORE,1
Good shuttles. Felt like bit expensive than sports shop.READ MORE,1
"Nice, perfect shot & quality product...READ MORE",1
goodREAD MORE,0
It's not long lasting I'm playing only 1 days and this product Was damaged I'm very disappointed for this productREAD MORE,0
Value for moneyREAD MORE,1
AverageREAD MORE,0
awsomeREAD MORE,0
Not up to the markREAD MORE,0
GoodREAD MORE,0
GoodREAD MORE,0
product quality is not goodREAD MORE,0
Break in just 2-3 SetsREAD MORE,0
Best of outderREAD MORE,1
Very badREAD MORE,0
Nic productREAD MORE,0
Good product service is goodREAD MORE,1
Good ProductREAD MORE,1
Bad quality and doesn't lasts for more than 5 games. Both base and shuttle are separated automatically while playing. I was hear fully disappointed with the quality of the product.READ MORE,0
Nice one.READ MORE,1
Very niceREAD MORE,0
What a fast delivery...superbREAD MORE,0
Better than mavis 10 and 1000READ MORE,1
good product 👍excellentREAD MORE,1
Good quality.READ MORE,1
Quality is better than yellowREAD MORE,1
Finally got original productREAD MORE,1
ExcellentREAD MORE,0
GoodREAD MORE,0
Good shuttleREAD MORE,1
"Orginal shuttle. Best buy while comparing same product from shops, shop one's don't last more and goes like bullet. This one is really fun to play with. Feel is excellent.READ MORE",1
Good product.READ MORE,1
"Poor quality, very old stock provided.READ MORE",0
Very good shuttle Superp durability compared to other.Original Very reliableIn budget item.READ MORE,1
Super product it lasts for 3 to 4 yearsREAD MORE,1
Good qualityREAD MORE,1
Very happy with the quality and deliveryREAD MORE,1
Good productREAD MORE,1
Good quality productREAD MORE,1
best shuttle in less price nice 😊😊😊😊😊READ MORE,1
Good productREAD MORE,1
SuperbREAD MORE,0
BestREAD MORE,0
Very bad 😧👎 quality this packREAD MORE,0
Good product fast delivery flipkart.READ MORE,1
GoodREAD MORE,0
Well fine and good Got the product in timeREAD MORE,1
Good for beginnersREAD MORE,1
my experience was quite good with this product till date.READ MORE,1
Very niceREAD MORE,0
GoodREAD MORE,0
GoodREAD MORE,0
Genuine product!READ MORE,0
Shuttles at there bestREAD MORE,0
OkREAD MORE,0
GoodREAD MORE,0
Good qualityREAD MORE,1
Good cap very  very game so better......READ MORE,1
good bestREAD MORE,1
Very goodREAD MORE,0
Product is nice and delivered in time..READ MORE,1
goodREAD MORE,0
ExcellentREAD MORE,0
Original shuttle very fine for play outside too.READ MORE,1
Nice productREAD MORE,1
Very good shuttleREAD MORE,1
Awesome product..READ MORE,1
ImpressedREAD MORE,0
NiceREAD MORE,0
Good productREAD MORE,1
Long lastingREAD MORE,0
product is not good2 shuttles got broken in only 3 matches It's my advice don't buy itREAD MORE,0
Good product...thnx flipcartREAD MORE,1
Yonex Mavis 350 Nice quality.....and delivery also on time thank u flipkart....READ MORE,1
Nice qualityREAD MORE,1
Good productREAD MORE,1
NiceREAD MORE,0
Value for moneyREAD MORE,1
No words about this.... awesome productREAD MORE,1
I felling Very good when I play.READ MORE,1
Nice product.READ MORE,1
greatREAD MORE,0
After playing one match the... Cap is rotating..  poor quality..... Second quality..... 3 times i got second quality....yonex Cheating us......READ MORE,0
Super Durable ShuttelsREAD MORE,1
Poor qualityREAD MORE,0
niceREAD MORE,0
SuperREAD MORE,0
Nice productsREAD MORE,1
Good product good delivery serviceREAD MORE,1
The quality of the shuttle is very bad. The product received is defective. The cork is getting damaged only for one gameREAD MORE,0
Awesome purchaseREAD MORE,1
Good serveceREAD MORE,1
Very nice and best priceREAD MORE,1
GoodREAD MORE,0
Life time is less.READ MORE,0
good product..READ MORE,1
"Very disappointed. The ones I bought on January was bad and did not last even a month. This is even worse. I ordered ""SLOW"" but God alone knows how- the shuttles are mostly SUPER FAST.. Sounds heavy the moment it touches the racket strings.?READ MORE",0
Recomended for medium range players.READ MORE,0
Some are at yellow part getting dammage quickly other than that okREAD MORE,0
Average .READ MORE,0
Best in The MarketREAD MORE,1
Good shuttleREAD MORE,1
Good product and delivery  thanks to flipcartREAD MORE,1
Best in class followed by durabilityREAD MORE,1
SuperREAD MORE,0
NO BADREAD MORE,0
Good productREAD MORE,1
The product is not genuine.U can identify by seeing the plastic cap of the boxREAD MORE,0
Good productREAD MORE,1
Super perfect flyREAD MORE,1
poor quality.....READ MORE,0
Good shuttleREAD MORE,1
Price is goodQuality is goodAnd also fast deliveryREAD MORE,0
What a shuttle like yonex branding best shuttles everREAD MORE,1
Better for both indoor and outdoorREAD MORE,1
NiceREAD MORE,0
goodREAD MORE,0
Best quality 👌READ MORE,1
good stuff....READ MORE,1
GoodREAD MORE,0
Good productREAD MORE,1
nice shuttleREAD MORE,1
Very bice productREAD MORE,0
BestREAD MORE,0
Good qualityREAD MORE,1
"Good one , timely deliveredREAD MORE",1
Aswm product i am happy with itREAD MORE,1
SuperREAD MORE,0
Nice one. Very durable.READ MORE,1
Its quality is similar as i wanted....i satisfiedREAD MORE,0
Good Product and Excellent ServiceREAD MORE,1
Good qualityREAD MORE,1
superbREAD MORE,0
Some shuttle have flight problemREAD MORE,0
Good qualityREAD MORE,1
AwsmREAD MORE,0
Got original ones .READ MORE,1
GoodREAD MORE,0
Good choiceREAD MORE,1
Good service and good productREAD MORE,1
ThankuREAD MORE,0
Not badREAD MORE,0
Poor qualityREAD MORE,0
bestREAD MORE,0
goodREAD MORE,0
Very goodREAD MORE,0
GoodREAD MORE,0
Reliable..READ MORE,0
NiceREAD MORE,0
NiceREAD MORE,0
NiceREAD MORE,0
Good we can buyREAD MORE,1
Good product and timely deliveredREAD MORE,1
Not goodREAD MORE,0
GudREAD MORE,0
bestREAD MORE,0
Damage product...READ MORE,0
GoodREAD MORE,0
Very very bad qualtyREAD MORE,0
great lovebitREAD MORE,1
As regular 😇READ MORE,0
OkREAD MORE,0
"Not For pro players, it wl hardly last 2daysFeather like quality bt low temperREAD MORE",1
"Good and lasting, it is normal, i think it is the bestREAD MORE",1
nice landing safely nice shuttlesssssREAD MORE,1
GoodREAD MORE,0
Good quality of the productREAD MORE,1
good quality of shuttles.....READ MORE,1
GoodREAD MORE,0
Got with proper Yonex authenticationREAD MORE,0
thank you....READ MORE,1
Excellent condition/performance...READ MORE,1
goodREAD MORE,0
ExcellentREAD MORE,0
GoodREAD MORE,0
GoodREAD MORE,0
Awesome look & materialREAD MORE,1
I love this productREAD MORE,1
Items quality are too badREAD MORE,0
MiceREAD MORE,0
OkREAD MORE,0
Only for 2-4 game ...Very bad quality..not as original productREAD MORE,0
niceREAD MORE,0
Quality slightly decrease compared with oldREAD MORE,0
BestREAD MORE,0
GoodREAD MORE,0
Good shuttleREAD MORE,1
Kk good not badREAD MORE,1
wast of money cheap qualityREAD MORE,0
AwsomeREAD MORE,0
good productREAD MORE,1
superREAD MORE,0
good gualityREAD MORE,1
Genuine product low cost👍READ MORE,0
very good product. speed of the shuttle in the air is good.READ MORE,1
Very goodREAD MORE,0
Good qualityREAD MORE,1
kwality is best ..READ MORE,1
bad quality .. don't waste your money ...READ MORE,0
goodREAD MORE,0
Wonderful product delivered timely by Flipkart. Thank you filipkart.READ MORE,1
Quality is excellentREAD MORE,0
niceREAD MORE,0
Best choice for Indian conditions. Lasts longer for beginners and intermediate players. Always receiving original product from Flipkart.READ MORE,1
Nice product.......... durable alsoREAD MORE,1
Not likedREAD MORE,0
lasting....READ MORE,0
GoodREAD MORE,0
GoodREAD MORE,0
niceREAD MORE,0
In 6 Shuttles only 2 are original shuttles....READ MORE,1
Super QualityREAD MORE,1
good just like feather shuttleREAD MORE,1
Quality good.... cheaper than shops...speed ok...READ MORE,1
okREAD MORE,0
Best in Value. Used it.READ MORE,1
Original productREAD MORE,1
good qualityREAD MORE,1
Bit costlyREAD MORE,0
"Excellent service, got in one day even at remote location like GangtokREAD MORE",1
Best product and lowest price 664READ MORE,1
bestREAD MORE,0
Nice shuttle you can order itREAD MORE,1
Very good correct flight and reliableREAD MORE,1
Useless  productREAD MORE,0
Good product fast deliveryREAD MORE,1
Original item with much lower price than the local market.READ MORE,1
Money worthyREAD MORE,0
Very good.. thanks fkartREAD MORE,1
Not of good quality plesae don't purchaseREAD MORE,1
Nice shuttleREAD MORE,1
Got the product as expectedREAD MORE,0
"Good,  but light wet heREAD MORE",1
goodREAD MORE,0
Good itemREAD MORE,1
good oneREAD MORE,1
Shuttles are not long lasting...READ MORE,0
GoodREAD MORE,0
thanks flipcartREAD MORE,1
SuperREAD MORE,0
goodREAD MORE,0
I'm a regular buyer but this time I got very bad quality shuttlesREAD MORE,0
Very bad product given faults in the shuttlesREAD MORE,0
Each shuttle lasted for 2-3 days onlyREAD MORE,0
orginal productREAD MORE,0
not badREAD MORE,0
very osom productREAD MORE,0
Great for playREAD MORE,1
Good productREAD MORE,1
GoodREAD MORE,0
Such a good product ? for shuttle loversREAD MORE,1
goodREAD MORE,0
superREAD MORE,0
Still GoodREAD MORE,0
superb shuttlesREAD MORE,1
original yonex shuttlecocksREAD MORE,1
strong n durableREAD MORE,1
NiceREAD MORE,0
"this is not original shuttle , fulll money wasteREAD MORE",1
goodREAD MORE,0
Nice productREAD MORE,1
goodREAD MORE,0
It's a good purchase.READ MORE,1
one day for one shuttle worst quality by flipkartREAD MORE,0
niceREAD MORE,0
NiceREAD MORE,0
goodREAD MORE,0
GoodREAD MORE,0
nice productREAD MORE,1
good oneREAD MORE,1
good productREAD MORE,1
good productsREAD MORE,1
Good productREAD MORE,1
1 shuttle max can be played 2 times considering 1.5 hrs hard play time.  But good thing is seller sends the genuine product as Sunrise authentication passed. Ordered second one.READ MORE,1
niceREAD MORE,0
"Always the best,satisfaction guaranteed.never disappoints me. only issue, the bottom cork might crack if gets hard hit by the metal frame of the racquet. easily lasts to 1 week per shuttle even after harsh gameplay.always the best, MAVIS 350😍💗💖READ MORE",1
very nice shuttle I fall in love with this shuttle got It be very cheap from flipkart thanks flipkart for saving my moneyREAD MORE,1
"This time quality not good, please care about it brotherREAD MORE",1
original and yes the best shuttle in the market ryt now.READ MORE,1
excellent product.. good quality..  🥰 loved it...  and last longREAD MORE,1
Bad qualityREAD MORE,0
great but seems fast than naturalREAD MORE,1
These are low quality shuttles which do not sustain even for a 2 hour game. Please do not buy from here.READ MORE,1
It's awesome ...READ MORE,1
goodREAD MORE,0
niceREAD MORE,0
Nice productREAD MORE,1
goodREAD MORE,0
good product fullfill my expectation thank you flipkartREAD MORE,1
BestREAD MORE,0
Not goodREAD MORE,0
worst productREAD MORE,0
"Original one, very nice to play.. bought this @ 699...READ MORE",1
GoodREAD MORE,0
GoodREAD MORE,0
Good oneREAD MORE,1
I am happy with this productREAD MORE,1
niceREAD MORE,0
BestREAD MORE,0
"original from yonex, great value for moneyREAD MORE",1
Lasting only for 3 gamesREAD MORE,0
good productREAD MORE,1
goodREAD MORE,0
goodREAD MORE,0
good qualityREAD MORE,1
not badREAD MORE,0
WorstREAD MORE,0
superb productREAD MORE,1
good productREAD MORE,1
good product and Long time certificationREAD MORE,1
Bad qualityREAD MORE,0
niceREAD MORE,0
goodREAD MORE,0
niceREAD MORE,0
SatisfiedREAD MORE,0
very niceREAD MORE,0
GoodREAD MORE,0
Nice delivery of the product and very punctual according to the timingREAD MORE,1
get damaged very soonREAD MORE,0
original productREAD MORE,1
Best purchaseREAD MORE,1
great productthanks FlipkartREAD MORE,1
quality is very poor.READ MORE,0
Nice ProductREAD MORE,1
worth for moneyREAD MORE,1
Osm very niceREAD MORE,0
worst. two pieces were damaged tooREAD MORE,0
some shuttle are too good and some are not that muchREAD MORE,1
Very good productREAD MORE,1
nyc productREAD MORE,0
Quality not good giving damage goods .READ MORE,1
the product is very damagedREAD MORE,0
SuperREAD MORE,0
wasteREAD MORE,0
nice productREAD MORE,1
Meterial is low qualityREAD MORE,0
nice productREAD MORE,1
very nice shuttleREAD MORE,1
It's very attractive and smart...READ MORE,1
not good for wintersREAD MORE,1
Nice shuttleREAD MORE,1
Thanks flipkart for delivering in just 12hrs.READ MORE,1
I am satisfied with the productREAD MORE,1
Not a good product  shuttle damages for only for 3 matchesREAD MORE,0
excellentREAD MORE,0
work goodREAD MORE,0
super productREAD MORE,1
very good perfomingREAD MORE,1
Good quality  genuine productREAD MORE,1
very badREAD MORE,0
normal qualityREAD MORE,0
wasteREAD MORE,0
"Very badd quality, and do not last.READ MORE",0
best quality productREAD MORE,1
I like itREAD MORE,1
It's look very hard.. For playing not a original quality....READ MORE,1
not goodREAD MORE,0
goodREAD MORE,0
Simply superbREAD MORE,0
goodREAD MORE,0
damaged so early.READ MORE,0
nice productREAD MORE,1
goodREAD MORE,0
not satisfied with the quality of productREAD MORE,1
💯% Genuine ProductREAD MORE,0
Very good product at a reasonable price.READ MORE,1
It's goodREAD MORE,0
Good as usualREAD MORE,1
good and genuineREAD MORE,1
NiceREAD MORE,0
some shuttle were very poor qualityREAD MORE,0
ExcellentREAD MORE,0
Shuttle is not durable.READ MORE,0
very patheticREAD MORE,0
good service and nice productREAD MORE,1
Very good product .. we hv been playing with this product from two years..READ MORE,1
Ready to play..☺️ Best price..READ MORE,1
Its niceREAD MORE,0
product is very good..but it takes 6 days to deliver😮😮😮READ MORE,0
"great quality product , deserve the price @699.READ MORE",1
GoodREAD MORE,0
very slow shuttleREAD MORE,0
varry good productREAD MORE,1
nice productREAD MORE,1
The first shuttle was authentic but the rest of the shuttles can compete with SpaceX rockets in terms of speed. Highly disappointed!READ MORE,0
superREAD MORE,0
superbREAD MORE,0
packing was very bad. All shuttles damaged.READ MORE,0
good onewe are playing outdoor and indoorREAD MORE,1
the shuttles are not genuine.READ MORE,0
goodREAD MORE,0
"as expected, recommendREAD MORE",0
Nice shuttle quality.READ MORE,1
niceREAD MORE,0
awesomeREAD MORE,0
Nice but seems it is not original.READ MORE,1
"nice shuttle, full control over palyREAD MORE",1
just okREAD MORE,0
good qualityREAD MORE,1
awesomeREAD MORE,0
excellentREAD MORE,0
Bad productsREAD MORE,0
ok okREAD MORE,1
satisfiedREAD MORE,0
worthREAD MORE,0
AswamREAD MORE,0
goodREAD MORE,0
Very goodREAD MORE,0
Very powerfulREAD MORE,0
niceREAD MORE,0
very goodREAD MORE,0
just suprrbbREAD MORE,0
some shuttles are durable and some are not. Becomes fast after few shots. Now we prefer mavis 300.READ MORE,0
GoodREAD MORE,0
Long lasting..READ MORE,0
very good product and value of moneyREAD MORE,1
Very good productREAD MORE,1
Good product.READ MORE,1
genuine products!READ MORE,0
always good...READ MORE,0
Just Superb..READ MORE,0
goodREAD MORE,0
very niceREAD MORE,0
good quality nowREAD MORE,1
goodREAD MORE,0
very good shuttleREAD MORE,1
superREAD MORE,0
goodREAD MORE,0
original productREAD MORE,1
bad productREAD MORE,0
very good  quality  this  item'sREAD MORE,1
old stockREAD MORE,0
shuttles were faster than usual..wasted moneyREAD MORE,0
its okREAD MORE,0
This shuttle is goodREAD MORE,0
East Or West FlipKart Is the best..... Became a FlipKart fan by delivering within a day. .READ MORE,1
poor quality item got this time..READ MORE,0
"seems like not original product disappointed, 50% shuttles wobbling and remaining last for just 1 or 2 matches..READ MORE",1
"quality is Soo good ,but delivery date is Soo late it shows 14 Dec but I received 17 Dec so don't waste ur time order it in another appREAD MORE",1
goodREAD MORE,0
old stock are sold not a single peace was goodREAD MORE,1
don't buy anyone this shuttle on Flipkart site....  worst quality productREAD MORE,0
excellent productREAD MORE,1
nice productREAD MORE,1
Good facilityREAD MORE,1
Exlent product...READ MORE,0
"Good one, I have read lot of negative review for Mavis 350.when purchase online, but this time I will say it's a better products, good quality...READ MORE",1
loved it.... original product delivered on time....READ MORE,1
very goodREAD MORE,0
goodREAD MORE,0
"delevired in just less than a day ,oh my god.thanks flipkartREAD MORE",0
received a genuine product...very good and original qualityREAD MORE,1
Amazing productREAD MORE,1
not value for moneyREAD MORE,1
good and light weightREAD MORE,1
light weight and long life!!!READ MORE,0
awesome goodREAD MORE,1
Nice product satisfiedREAD MORE,1
very nice & best qualityREAD MORE,1
old stock I gotREAD MORE,0
1st 3 corks got damaged very fast. and rest 3 were goodREAD MORE,0
Good product for this price..READ MORE,1
goodREAD MORE,0
goodREAD MORE,0
nice item... u must buyREAD MORE,1
very niceREAD MORE,0
Happy with FlipkartREAD MORE,1
bad productsREAD MORE,0
nice ProductREAD MORE,1
bad qualityREAD MORE,0
Yonex Mavis 350 Is Not Pure Shuttle  Dummy Not A Genuine Bad Quality And  So Old Pak. Date On Box Jan 2019 ....READ MORE,0
Good But Price a little bit highREAD MORE,1
Best in classREAD MORE,1
cork quality issues. cracking soon.READ MORE,0
superREAD MORE,0
goodREAD MORE,0
goodREAD MORE,0
"good price range,thanq flipkart.READ MORE",1
orginal productREAD MORE,0
genuine product.....go for itREAD MORE,0
NiceREAD MORE,0
superrREAD MORE,0
not goodREAD MORE,0
very slow.. and barely lasts 2days. very disappointingREAD MORE,0
worth productREAD MORE,1
somthing best for youREAD MORE,1
nice . premium productREAD MORE,1
very niceREAD MORE,0
goodREAD MORE,0
worst quality fraud materialsREAD MORE,0
not so good 6 shuttle and only 9 days we playREAD MORE,1
goodREAD MORE,0
nice productREAD MORE,1
niceREAD MORE,0
no difference..... orginal product.READ MORE,0
Nice Product.READ MORE,1
product was bad.READ MORE,0
good worth priceREAD MORE,1
durability of the cork is very bad and it  is not enough for even one dayREAD MORE,0
Few shuttle corks look like they may break down within few minutes of play. Otherwise all okay!READ MORE,1
ValuableREAD MORE,0
Very nice shuttlesREAD MORE,1
old stock. manufactured a year back(12 months)READ MORE,0
very bad product ☹️ wast of moneyREAD MORE,0
TqREAD MORE,0
niceREAD MORE,0
good productREAD MORE,1
Plz go for it. Really worth for every cork. our friends are really happy with the reliability of this pack.READ MORE,1
goodREAD MORE,0
nice Best in outdoor game 👌READ MORE,1
Very nice product i love itREAD MORE,1
nice productREAD MORE,1
goodREAD MORE,0
Good qualityREAD MORE,1
goodREAD MORE,0
Always best and fineREAD MORE,1
Nice product. Best for outdoor.READ MORE,1
niceREAD MORE,0
goodREAD MORE,0
NiceREAD MORE,0
nice productREAD MORE,1
Good Product....READ MORE,1
very Good crockREAD MORE,1
awesome product Mavis 350 is superREAD MORE,1
good qualityREAD MORE,1
nice prudectREAD MORE,1
great productREAD MORE,1
GoodREAD MORE,0
one shuttle out six on the box was wabbling from the very first moment of useREAD MORE,0
okREAD MORE,0
worst product...don't even last 2 matchesREAD MORE,0
Worst qualityREAD MORE,0
Very good productREAD MORE,1
goodREAD MORE,0
good quality and genuine product..READ MORE,1
goodREAD MORE,0
niceREAD MORE,0
lovely productREAD MORE,1
Must buy.. exlent productREAD MORE,0
reasonable cost...READ MORE,0
GoodREAD MORE,0
goodREAD MORE,0
GreatREAD MORE,0
Very Good ProductREAD MORE,1
Excellent product thanks flipkartREAD MORE,1
Nice oneREAD MORE,1
not so goodREAD MORE,0
good shuttle ... very good to flyREAD MORE,1
niceREAD MORE,0
best but price is very hight on FlipkartREAD MORE,1
very niceREAD MORE,0
its really goodREAD MORE,0
nice product in cheap costREAD MORE,1
very good productREAD MORE,1
absolute treasureREAD MORE,0
goodREAD MORE,0
quality is not feel so upto the mark. shredded during play with shuttle in a weekREAD MORE,1
real feelREAD MORE,0
very very good productREAD MORE,1
Nice. Good for practice sessions. Good quality.READ MORE,1
Worth your moneyREAD MORE,1
nice compared priceREAD MORE,1
goodREAD MORE,0
Good Shuttle.READ MORE,1
Nice shuttleREAD MORE,1
goodREAD MORE,0
excellent just love it thanks flipkartREAD MORE,1
goodREAD MORE,0
superbREAD MORE,0
goodREAD MORE,0
super product.READ MORE,1
Very good productREAD MORE,1
BestREAD MORE,0
ExcellentREAD MORE,0
GoodREAD MORE,0
bought it for 670 fast delivered quality is goodREAD MORE,0
nycREAD MORE,0
superREAD MORE,0
product is good and delivery is too fast.. thanks for sharing best product in this price....READ MORE,1
superREAD MORE,0
very goodREAD MORE,0
Nice productREAD MORE,1
good productREAD MORE,1
value for moneyREAD MORE,1
good but but improve qualityREAD MORE,1
super shuttle very niceeREAD MORE,1
one shuttle was not in good condition due to lack of packingREAD MORE,1
superREAD MORE,0
goodREAD MORE,0
Good packing i think seller is too bad becase i got bad product this time less quality and its broken fast pure china local productREAD MORE,0
MarvelousREAD MORE,0
the original quality product. Good packing. swift delivery Makes Happy CustomerREAD MORE,1
original shuttleREAD MORE,1
not as expected!READ MORE,0
Damaged rapidly.READ MORE,0
niceREAD MORE,0
Original qualityREAD MORE,1
goodREAD MORE,0
NiceREAD MORE,0
Good grip for all sideREAD MORE,1
"Item looks duplicate.  it doesn't look original shuttle. After player one yr, shuttle becomes useless. Earlier we use to play 3-4 hr with one shuttle.READ MORE",0
goodREAD MORE,0
best shuttle for outdoorREAD MORE,1
LovelyREAD MORE,0
original product. played yesterday and all is wellREAD MORE,1
goodREAD MORE,0
Good for playREAD MORE,1
superREAD MORE,0
GoodREAD MORE,0
Shuttles are good but the box seems to be not that good qualityREAD MORE,1
Guys lots of shuttles inside the box are damaged and doesn't have correct weight for indoor playThe shuttles inside the box are all wobbling.. Plz don't buy from flipkart we have other sites where u will find genuine sellersPlz beware of this productREAD MORE,0
Good productREAD MORE,1
GoodREAD MORE,0
goodREAD MORE,0
very good product long lasting for indoor gameREAD MORE,1
very nice qualityREAD MORE,1
Poor qualityREAD MORE,0
good product. Suggest to buy.READ MORE,1
goodREAD MORE,0
thanks flipcart...very niceREAD MORE,1
GoodREAD MORE,0
"bad product ,poor quality , really disappointedREAD MORE",0
goodREAD MORE,0
Behtareen.. i keep on ordering this monthly.. good for intermediate players like me..READ MORE,1
superREAD MORE,0
slow 75 is not slow as lining. only wastage of moneyREAD MORE,0
goodREAD MORE,0
niceREAD MORE,0
"high rate, quality poor early brokenREAD MORE",0
ExpectingREAD MORE,0
Product is good but manufacturers date is in August.READ MORE,1
great product in reasonable priceREAD MORE,1
good qualityREAD MORE,1
Good qualityREAD MORE,1
goodREAD MORE,0
nice productREAD MORE,1
out of 6 ... 3 will be fast and 3 will be slow... after returning the they sends the same with packing it fresh ... it's by YonexREAD MORE,1
awesomeREAD MORE,0
ORIGINAL PRODUCTREAD MORE,1
evergreenREAD MORE,0
nicc niceREAD MORE,0
good delivery n originalREAD MORE,1
nice oneREAD MORE,1
ok bettarREAD MORE,1
good for beginnersREAD MORE,1
good for outdoorsREAD MORE,1
Nice oneREAD MORE,1
This is the first time i have received bad quality of product. shuttles are of bad qualities and very slow. Really disappointed.READ MORE,0
shuttle always good.  timely delivered 👍READ MORE,1
fine qualityREAD MORE,1
very good product Fkipkart very quickly devilry the item thanks to FkipkartREAD MORE,1
nice productREAD MORE,1
good for regular practice. and nice quality.READ MORE,1
Delivery time given is 10 days and also took a day extra. Did not meet the promised delivery date.Product is good.READ MORE,1
superREAD MORE,0
Worthy product.  Very durable in outdoor practice.  Nice productREAD MORE,1
good👍READ MORE,0
"very bad, slowREAD MORE",0
"Good for indoor, grab this if you like super slow shuttlesREAD MORE",1
niceREAD MORE,0
greatREAD MORE,0
goodREAD MORE,0
goodREAD MORE,0
GoodREAD MORE,0
goodREAD MORE,0
wonderfulREAD MORE,0
"product delivered on time 👍, I checked all shuttles are were fine no wobbling or damage piece. for me its 100%geniuneREAD MORE",0
good..READ MORE,0
original productsREAD MORE,1
Very niceREAD MORE,0
Good quality shuttleREAD MORE,1
Good I love itREAD MORE,1
original product delivered with lightening  speedREAD MORE,1
good productREAD MORE,1
good oneREAD MORE,1
good for practiceREAD MORE,1
It is very goodREAD MORE,0
goodREAD MORE,0
goodREAD MORE,0
very worst shuttle is looking like 30 RS per pieceREAD MORE,0
Good productREAD MORE,1
good product and best shuttlecock.READ MORE,1
perfect...!READ MORE,0
Excellent Item and delivery service provided by FlipkartREAD MORE,1
it's okREAD MORE,0
niceREAD MORE,0
go for it oldREAD MORE,0
Good poductREAD MORE,1
goodREAD MORE,0
so naisREAD MORE,0
Good....!!READ MORE,0
niceREAD MORE,0
nice productREAD MORE,1
original product received . Thank you for speedy delivery.READ MORE,1
good nice 👍READ MORE,1
goodREAD MORE,0
Nice shuttleREAD MORE,1
"Got the original product, thanks to flipkart and the vendor supplierREAD MORE",1
Just awesomeREAD MORE,0
always awesome 👍READ MORE,1
Very nice Product 👌😊READ MORE,1
superREAD MORE,0
shuttles are good and durable lasted for 6 rapid games.READ MORE,1
Badminton shuttle is too goodREAD MORE,0
very badREAD MORE,0
Superb productREAD MORE,1
goodREAD MORE,0
"yesterday received that product but it is damaged,i am very disappointed and i lost my moneyREAD MORE",0
good quality shuttlecocksREAD MORE,1
goodREAD MORE,0
Love the product..READ MORE,1
goodREAD MORE,0
good productREAD MORE,1
goodREAD MORE,0
goodREAD MORE,0
quality and packing is super awesome...READ MORE,1
Very good quality shuttlesREAD MORE,1
AswmREAD MORE,0
Thanks for it😀😀😀😀READ MORE,1
go for it.... perfect for matches of intermediate to professional levelREAD MORE,1
best qualityREAD MORE,1
Super as expectedREAD MORE,1
Best to playREAD MORE,1
"very nice product,good qualityREAD MORE",1
Received an original and sealed product at a better price than the local sports stores.READ MORE,1
goodREAD MORE,0
Not evonomicalREAD MORE,0
got used shuttleREAD MORE,0
good product and profit useable thanks FlipkartREAD MORE,1
best shuttles for all & long lifeREAD MORE,1
good qualityREAD MORE,1
Original product and as we know it is best in its segment.READ MORE,1
After completion  one game shuttle will be too fastREAD MORE,0
superbREAD MORE,0
This is not original ... It's light weighted. But it's ok ok . You can play. But durability is another issue. These shuttles are not long lastingREAD MORE,1
got the product on time.product is genuine.READ MORE,0
it's not good qualityREAD MORE,1
excellentREAD MORE,0
good and nice speeds of shuttlesREAD MORE,1
goodREAD MORE,0
goodREAD MORE,0
good product . happy with the shuttle .READ MORE,1
okREAD MORE,0
GudREAD MORE,0
shuttles are good.and comparatively lasted.READ MORE,0
finest shuttle for practice. The durability of shuttle is awesome.I bet you won't regret after playing.READ MORE,1
nice quality shuttlesREAD MORE,1
best delivery manREAD MORE,1
fine and good dilevaryREAD MORE,1
GoodREAD MORE,0
good quality and good costREAD MORE,1
Quality good...READ MORE,0
Nice qualityREAD MORE,1
good qualityREAD MORE,1
good productREAD MORE,1
It's is good for intermediate players not best but better then otherREAD MORE,1
strong build for any rough game nice movement and speed.READ MORE,1
niceREAD MORE,0
very good.READ MORE,0
this is the best plastic shuttleREAD MORE,1
nice productREAD MORE,1
ExcellentREAD MORE,0
Awesome got with 699READ MORE,1
goodREAD MORE,0
"awesome, Nice productREAD MORE",1
GoodREAD MORE,0
Not Satisfactory. Shuttles are a little fast. The quality seem to have degraded.READ MORE,1
on first attempt flipkart send local product when I replace order then  I received yonex mavis 350 thanks flipkartREAD MORE,1
